"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.3","1217","$204.54","1090","$144.89","142"
"Alaska","$287.82","287","$256.77","346","$388.58","26"
"Arizona","$301.65","2168","$208.33","1873","$193.93","251"
"Arkansas","$352.22","664","$183.17","620","$129.26","127"
"California","$246.41","13462","$192.87","14625","$191.87","867"
"Colorado","$237.36","2524","$197.37","2096","$229.15","151"
"Connecticut","$345.87","1445","$275.26","1519","$252.31","97"
"Delaware","$372.6","392","$226.25","317","$206.61","36"
"District of Columbia","$346.37","496","$290.76","411","$214.35","44"
"Florida","$304.78","7494","$218.74","6114","$152.44","579"
"Georgia","$329.55","3527","$214.59","2611","$154.62","250"
"Hawaii","$314.68","366","$276.77","404","$167.62","27"
"Idaho","$275.46","350","$255.72","513","$140.27","26"
"Illinois","$357.12","4535","$286.63","4141","$189.87","376"
"Indiana","$334.79","1890","$209.33","1685","$158.06","271"
"Iowa","$369.44","776","$292.72","755","$248.92","109"
"Kansas","$351.21","941","$261.87","741","$121.53","117"
"Kentucky","$340.66","1159","$183.22","1134","$126.04","147"
"Louisiana","$370.43","1216","$243.75","1005","$148.14","258"
"Maine","$319.33","503","$258.83","492","$216.72","56"
"Montana","$268.72","630","$250.35","301","$660.67","25"
"Nebraska","$344.73","579","$250.49","566","$140.02","68"
"Nevada","$267.57","1000","$227.1","1069","$243.46","66"
"New Hampshire","$360.8","479","$290.91","507","$677.38","41"
"New Jersey","$352.72","2481","$291.34","3198","$232.13","215"
"New Mexico","$291.36","630","$213.18","497","$75.24","46"
"New York","$350.08","6413","$266.66","6648","$205.61","523"
"North Carolina","$354.1","3191","$245.46","2223","$150.58","250"
"North Dakota","$401.73","164","$364.13","237","$347.51","17"
"Ohio","$335.82","3430","$215.18","3271","$164.9","440"
"Oklahoma","$366.68","858","$230.23","787","$121.24","151"
"Oregon","$210.47","1790","$186.07","1516","$165.54","72"
"Maryland","$376.14","2240","$250.39","1806","$189.87","166"
"Massachusetts","$350.13","3216","$294.21","2813","$219.35","240"
"Michigan","$295.22","3349","$272.26","2865","$228.49","245"
"Minnesota","$367.59","1933","$277.6","1808","$186.51","106"
"Mississippi","$343.84","474","$147.09","407","$141.39","118"
"Missouri","$368.09","1784","$244.76","1521","$148.95","228"
"Pennsylvania","$368.79","4396","$267.76","3720","$194.37","412"
"Rhode Island","$331.15","584","$258.86","406","$201.75","34"
"South Carolina","$344.69","1316","$202.09","1052","$186.19","138"
"South Dakota","$388.48","178","$354.49","193","$124.17","21"
"Tennessee","$356.15","1769","$226.18","1429","$189.4","173"
"Texas","$340.07","6750","$234.52","6580","$142.44","959"
"Utah","$291.3","768","$241.4","798","$189.95","49"
"Vermont","$376.9","302","$319.68","263","$190.36","26"
"Virginia","$371.37","2766","$287.41","2274","$225.59","232"
"Washington","$233.92","2626","$190.92","2673","$143.67","121"
"West Virginia","$358.35","429","$214.48","425","$158.25","46"
"Wisconsin","$356.19","1811","$270.51","1602","$242.49","140"
"Wyoming","$354.33","104","$370.55","148","$161.3","11"
